Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
29,Male,Bachelor's Degree,Software Engineer,3," 75,000 "
32,Female,Master's Degree,Marketing Manager,8," 1,20,000 "
27,Male,Bachelor's Degree,Product Manager,2," 65,000 "
30,Female,PhD,Data Scientist,6," 1,00,000 "
36,Male,Bachelor's Degree,Financial Analyst,11," 1,50,000 "
28,Female,Bachelor's Degree,Marketing Coordinator,3," 60,000 "
33,Male,Master's Degree,Software Engineer,9," 1,20,000 "
26,Female,Bachelor's Degree,Graphic Designer,1," 45,000 "
29,Male,Bachelor's Degree,Product Manager,5," 80,000 "
35,Female,PhD,Research Scientist,11," 1,50,000 "
27,Male,Bachelor's Degree,Software Engineer,2," 65,000 "
31,Female,Bachelor's Degree,Marketing Manager,7," 1,00,000 "
28,Male,Master's Degree,Financial Analyst,4," 90,000 "
24,Female,Bachelor's Degree,Marketing Analyst,0," 40,000 "
30,Male,Bachelor's Degree,Project Manager,6," 1,10,000 "
34,Female,PhD,Research Director,12," 1,70,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 75,000 "
33,Female,Master's Degree,Marketing Manager,8," 1,20,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
25,Female,High School,Customer Service Representative,1," 30,000 "
36,Male,PhD,Research Scientist,13," 1,80,000 "
39,Female,Bachelor's Degree,Financial Manager,15," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,1," 50,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
28,Male,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Female,Bachelor's Degree,Product Manager,7," 1,10,000 "
24,Male,High School,Delivery Driver,0," 28,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,10,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
27,Male,phD,Marketing Coordinator,7," 1,20,000 "
28,Female,Bachelor's Degree,Marketing Coordinator,3," 60,000 "
33,Male,Master's Degree,Software Engineer,8," 1,20,000 "
27,Female,Bachelor's Degree,Product Manager,2," 65,000 "
30,Male,PhD,Data Scientist,6," 1,00,000 "
36,Female,Bachelor's Degree,Financial Analyst,11," 1,50,000 "
29,Male,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Female,Master's Degree,Software Engineer,9," 1,20,000 "
26,Male,Bachelor's Degree,Graphic Designer,1," 45,000 "
29,Female,Bachelor's Degree,Product Manager,5," 80,000 "
35,Male,PhD,Research Scientist,11," 1,50,000 "
27,Male,Bachelor's Degree,Software Engineer,2," 65,000 "
31,Female,Bachelor's Degree,Marketing Manager,7," 1,00,000 "
28,Male,Master's Degree,Financial Analyst,4," 90,000 "
24,Female,Bachelor's Degree,Marketing Analyst,0," 40,000 "
30,Male,Bachelor's Degree,Project Manager,6," 1,10,000 "
34,Female,PhD,Research Director,12," 1,70,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 75,000 "
33,Female,Master's Degree,Marketing Manager,8," 1,20,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
25,Female,High School,Customer Service Representative,1," 30,000 "
36,Male,PhD,Research Scientist,13," 1,80,000 "
39,Female,Bachelor's Degree,Financial Manager,15," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,1," 50,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
28,Male,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Female,Bachelor's Degree,Product Manager,7," 1,10,000 "
24,Male,High School,Delivery Driver,0," 28,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,10,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
26,Male,Bachelor's Degree,Product Designer,2," 55,000 "
31,Female,PhD,Data Scientist,8," 1,40,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,30,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,12," 1,70,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 90,000 "
34,Male,PhD,Research Director,11," 1,60,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 60,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
37,Male,Master's Degree,Marketing Director,14," 1,90,000 "
39,Female,Bachelor's Degree,Financial Manager,16," 2,00,000 "
29,Female,Bachelor's Degree,Marketing Coordinator,4," 65,000 "
34,Male,Master's Degree,Software Engineer,9," 1,25,000 "
28,Female,Bachelor's Degree,Product Manager,3," 70,000 "
31,Male,PhD,Data Scientist,7," 1,10,000 "
37,Female,Bachelor's Degree,Financial Analyst,12," 1,60,000 "
30,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Software Engineer,8," 1,20,000 "
27,Male,Bachelor's Degree,Graphic Designer,2," 50,000 "
30,Female,Bachelor's Degree,Product Manager,5," 85,000 "
36,Male,PhD,Research Scientist,11," 1,55,000 "
28,Male,Bachelor's Degree,Software Engineer,3," 70,000 "
32,Female,Bachelor's Degree,Marketing Manager,8," 1,15,000 "
29,Male,Master's Degree,Financial Analyst,5," 95,000 "
25,Female,Bachelor's Degree,Marketing Analyst,0," 40,000 "
31,Male,Bachelor's Degree,Project Manager,6," 1,15,000 "
35,Female,PhD,Research Director,12," 1,75,000 "
28,Male,Bachelor's Degree,Software Engineer,3," 70,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
25,Female,High School,Customer Service Representative,1," 30,000 "
36,Male,PhD,Research Scientist,13," 1,85,000 "
40,Female,Bachelor's Degree,Financial Manager,15," 2,10,000 "
27,Male,Bachelor's Degree,Product Designer,1," 45,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
28,Male,Bachelor's Degree,Marketing Analyst,3," 70,000 "
32,Female,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Male,High School,Delivery Driver,0," 28,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
26,Female,Master's Degree,Software Engineer,2," 75,000 "
39,Male,PhD,Research Scientist,14," 1,85,000 "
32,Female,Bachelor's Degree,Marketing Manager,7," 1,20,000 "
28,Male,Bachelor's Degree,Graphic Designer,3," 60,000 "
35,Female,Master's Degree,Data Scientist,10," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Product Manager,8," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,2," 70,000 "
36,Female,PhD,Research Director,12," 1,75,000 "
24,Male,High School,Delivery Driver,0," 28,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
38,Male,Master's Degree,Marketing Director,14," 1,95,000 "
40,Female,Bachelor's Degree,Financial Manager,16," 2,15,000 "
27,Male,Bachelor's Degree,Product Designer,2," 55,000 "
32,Female,PhD,Data Scientist,9," 1,45,000 "
29,Male,Bachelor's Degree,Marketing Analyst,4," 75,000 "
33,Female,Master's Degree,Marketing Manager,9," 1,35,000 "
27,Male,Bachelor's Degree,Software Engineer,3," 80,000 "
36,Female,PhD,Research Scientist,13," 1,85,000 "
25,Male,Bachelor's Degree,Product Manager,1," 60,000 "
30,Female,Bachelor's Degree,Marketing Coordinator,5," 95,000 "
34,Male,PhD,Research Director,12," 1,70,000 "
28,Female,Bachelor's Degree,Marketing Analyst,3," 65,000 "
32,Male,Bachelor's Degree,Product Manager,7," 1,20,000 "
24,Female,High School,Receptionist,0," 25,000 "
